ID,fq6,fq14_ch_age,fq14_3,f_sep,ss_all,asbi_express,asbi_comply,asbi_disrupt,ch_ST_recs,ch_PA_recs,fq16_st_wk_trunc_hrs,fq16_tv_hrs,fq16_comp_hrs,fq18_avg_out_hrs
300043,Male,4.224504,No,3,66,27,22,9,0,0,1.5,1.214286,0.2857143,2.642857
30345,Male,4.43258,No,3,63,30,22,15,0,0,1.428571,1.285714,0.1428571,2.285714
30838,Male,2.527036,No,3,72,29,26,9,1,0,1,1,0,2.571429
30242,Male,4.714579,No,2,82,38,29,11,0,0,3.142857,3.142857,0,1.5
30490,Male,3.874059,No,3,81,38,28,11,0,1,2.285714,1.285714,1,4.285714
30241,Male,5.760438,No,3,86,39,29,8,1,0,0.3571429,0.3571429,0,2.571429
30134,Male,2.543463,No,3,71,35,21,11,1,0,0.5,0.5,0,1.285714
30159,Female,4.29295,No,3,83,38,27,8,0,0,1.285714,0.6428572,0.6428572,1.642857
30008,Male,4.123203,No,3,83,37,27,7,0,1,8.571428,8.571428,0,3.928571
30428,Male,4.377823,No,2,69,34,20,11,0,0,3.571429,2.714286,0.8571428,2.285714
30475,Female,2.85284,No,3,77,34,25,8,0,1,1.857143,1.357143,0.5,4.285714
30864,Male,4.019165,No,2,84,39,27,8,0,1,1.928571,0.6428572,1.285714,3.571429
30278,Male,3.227926,No,3,75,35,24,10,0,0,1.285714,1.285714,0,1.928571
30222,Male,2.757016,No,3,78,37,23,10,0,1,2,1.5,0.5,3.5
30948,Male,2.30527,No,3,72,33,23,10,1,0,0,0,0,2.285714
30258,Female,2.707734,No,3,79,36,27,10,0,0,2,1,1,2.285714
30736,Male,4.339493,Yes,2,61,25,19,9,0,1,2.285714,1.642857,0.6428572,3.285714
30444,Male,3.282683,No,3,71,36,20,11,0,1,1.642857,1.142857,0.5,4
30169,Female,2.976044,No,3,69,36,19,12,0,1,1.5,1.357143,0.1428571,3.285714
30932,Female,4.503765,Yes,1,72,32,23,9,0,0,4,2.5,1.5,1.428571
30281,Male,4.29295,No,3,74,38,20,12,0,0,3.142857,2.142857,1,0.7857143
